"brand","model","color","price","km","year","transmission","eng_power","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate"
"Volkswagen","Tiguan","Grey","43699","17500km","10/2021","Automatic","110 kW (150 hp)","1498cc","Petrol","7.1 l/100km","4x2","Germany","https://carvago.com/car/48005785/volkswagen-tiguan-1-5-tsi-evo-110-kw",2022-09-11
"Opel","Mokka","White","28899","10800km","1/2021","Automatic","96 kW (131 hp)","1199cc","Petrol","5 l/100km","4x2","Poland","https://carvago.com/car/51809820/opel-mokka-1-2-s-s-ultimate-96-kw",2022-09-11
"Skoda","Kodiaq","Black","35799","86208km","2/2019","Automatic","140 kW (190 hp)","1984cc","Petrol","6.7 l/100km","4x4","Germany","https://carvago.com/car/51632869/skoda-kodiaq-2-0-tsi-act-4x4-dsg-style-140-kw",2022-09-11
"Opel","Crossland X","Orange","15899","69000km","8/2017","Manual","88 kW (120 hp)","15600cc","Diesel","4 l/100km","4x2","Germany","https://carvago.com/car/51680313/opel-crossland-x-diesel-innovation-88-kw",2022-09-11
"Volkswagen","T-Roc","White","35749","5400km","5/2022","Manual","110 kW (150 hp)","14980cc","Petrol","6.6 l/100km","4x2","Germany","https://carvago.com/car/50091982/volkswagen-t-roc-tsi-110-kw",2022-09-11
"Ford","Fusion","Black","5599","85000km","10/2009","Manual","59 kW (80 hp)","1388cc","Petrol","6.5 l/100km","4x2","Germany","https://carvago.com/car/50023756/ford-fusion-1-4-style-59-kw",2022-09-11
"Citroen","C3","Other interior color","10149","91665km","7/2017","Manual","75 kW (102 hp)","1600cc","Diesel","3 l/100km","4x2","France","https://carvago.com/car/51809938/citroen-c3-100-s-s-feel-75-kw",2022-09-11
"Kia","XCeed","Silver","24649","19500km","10/2020","Manual","103 kW (140 hp)","13534cc","Petrol","6.2 l/100km","4x2","Germany","https://carvago.com/car/50175449/kia-xceed-103-kw",2022-09-11
"Dodge","RAM","Black","36899","14100km","1/2019","Automatic","295 kW (401 hp)","5654cc","Petrol","4x2",NA,"Poland","https://carvago.com/car/51053584/dodge-ram-quad-cab-295-kw",2022-09-11
"Dodge","RAM","Grey","63149","14190km","8/2021","Automatic","295 kW (401 hp)","5654cc","LPG","4x4",NA,"Netherlands","https://carvago.com/car/51552411/dodge-ram-sport-295-kw",2022-09-11
"Opel","Astra","Blue","3899","110000km","3/2009","Manual","66 kW (90 hp)","1364cc","Petrol","6 l/100km","4x2","Germany","https://carvago.com/car/50098203/opel-astra-1-4-66-kw",2022-09-11
"Dodge","RAM","Black","66999","308km","2/2022","Automatic","295 kW (401 hp)","5654cc","LPG","4x4",NA,"Netherlands","https://carvago.com/car/50034520/dodge-ram-295-kw",2022-09-11
"Kia","Sportage","Grey","47949","10000km","1/2022","Automatic","132 kW (179 hp)","15985cc","Petrol","6 l/100km","4x4","Germany","https://carvago.com/car/49345609/kia-sportage-awd-dct-132-kw",2022-09-11
"Renault","Clio","Grey","3849","173679km","12/2009","Manual","72 kW (98 hp)","1395cc","Petrol","5.6 l/100km","4x2","Germany","https://carvago.com/car/50042331/renault-clio-estate-tce-100-72-kw",2022-09-11
"Kia","Sorento","Black","7899","131000km","7/2009","Automatic","182 kW (247 hp)","3300cc","Petrol","9 l/100km","4x4","Germany","https://carvago.com/car/51803486/kia-sorento-182-kw",2022-09-11
"Dodge","RAM","White","37949","56481km","1/2019","Automatic","287 kW (390 hp)","5654cc","LPG","4x4",NA,"Poland","https://carvago.com/car/46410112/dodge-ram-287-kw",2022-09-11
"Dacia","Sandero","Blue","2899","124225km","3/2009","Manual","55 kW (75 hp)","1390cc","Petrol","7 l/100km","4x2","Germany","https://carvago.com/car/50033162/dacia-sandero-1-4-mpi-55-kw",2022-09-11
"Skoda","Fabia","Grey","3599","116818km","8/2009","Manual","44 kW (60 hp)","1198cc","Petrol","5.9 l/100km","4x2","Germany","https://carvago.com/car/50282652/skoda-fabia-1-2-htp-44-kw",2022-09-11
"Dodge","RAM","Black","58399","400km","5/2021","Automatic","295 kW (401 hp)","5700cc","Petrol","14.2 l/100km","4x4","Germany","https://carvago.com/car/49563338/dodge-ram-295-kw",2022-09-11
"Citroen","C3","Other interior color","11649","60690km","12/2017","Manual","56 kW (76 hp)","1560cc","Diesel","3 l/100km","4x2","France","https://carvago.com/car/50362441/citroen-c3-75-s-s-83g-feel-56-kw",2022-09-11
