"brand","model","color","price","km","year","transmission","eng_power","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate"
"Seat","Leon",NA,"3049","158500km","6/2009","Manual","92 kW (125 hp)","1390cc","Petrol","6.3 l/100km","4x2","Germany","https://carvago.com/car/52112470/seat-leon-style-92-kw",2022-10-24
"Opel","Crossland X","Orange","15899","69000km","8/2017","Manual","88 kW (120 hp)","15600cc","Diesel","4 l/100km","4x2","Germany","https://carvago.com/car/51680313/opel-crossland-x-diesel-innovation-88-kw",2022-10-24
"Opel","Insignia CT","Black","10899","136000km","3/2016","Manual","125 kW (170 hp)","1956cc","Diesel","4.5 l/100km","4x2","Germany","https://carvago.com/car/52356186/opel-insignia-ct-2-0-cdti-125-kw",2022-10-24
"Toyota","Land Cruiser","Grey interior","34099","0km","7/2022","Manual","96 kW (131 hp)","4200cc","Diesel","10 l/100km","4x4","Belgium","https://carvago.com/car/52392857/toyota-land-cruiser-96-kw",2022-10-24
"Kia","XCeed","Silver","24649","19500km","10/2020","Manual","103 kW (140 hp)","13534cc","Petrol","6.2 l/100km","4x2","Germany","https://carvago.com/car/50175449/kia-xceed-103-kw",2022-10-24
"Dacia","Sandero","Blue","2599","135900km","10/2009","Manual","55 kW (75 hp)","1390cc","Petrol","7 l/100km","4x2","Germany","https://carvago.com/car/52370807/dacia-sandero-1-4-mpi-55-kw",2022-10-24
"Skoda","Octavia","Silver","13249","166000km","4/2019","Manual","85 kW (116 hp)","11598cc","Diesel","4 l/100km","4x2","Germany","https://carvago.com/car/52392560/skoda-octavia-tdi-green-tec-ambition-85-kw",2022-10-24
"Renault","Clio","Grey","15099","13884km","11/2019","Manual","66 kW (90 hp)","14641cc","Diesel","6 l/100km","4x2","Belgium","https://carvago.com/car/52151266/renault-clio-dci-85-business-66-kw",2022-10-24
"Mercedes-Benz","E 350","Black","11899","163000km","1/2009","Automatic","200 kW (272 hp)","3498cc","Petrol","11 l/100km","4x4","Germany","https://carvago.com/car/50053155/mercedes-benz-e-350-t-4matic-200-kw",2022-10-24
"Opel","Insignia","Black","8899","135000km","4/2009","Manual","221 kW (300 hp)","1998cc","Petrol","9.3 l/100km","4x4","Germany","https://carvago.com/car/52016743/opel-insignia-221-kw",2022-10-24
