"brand","model","color","price","km","year","transmission","eng_power","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate"
"Volkswagen","T-Roc","White","35749","4900km","5/2022","Manual","110 kW (150 hp)","14980cc","Petrol","6.6 l/100km","4x2","Germany","https://carvago.com/car/50091982/volkswagen-t-roc-tsi-110-kw",2022-08-24
"Renault","Clio","Grey","15599","13884km","11/2019","Manual","66 kW (90 hp)","14641cc","Diesel","6 l/100km","4x2","Belgium","https://carvago.com/car/48302236/renault-clio-dci-85-business-66-kw",2022-08-24
"Kia","XCeed","Silver","24649","19500km","10/2020","Manual","103 kW (140 hp)","13534cc","Petrol","6.2 l/100km","4x2","Germany","https://carvago.com/car/50175449/kia-xceed-103-kw",2022-08-24
"Chevrolet","Matiz","Blue","2849","75000km","12/2009","Manual","38 kW (52 hp)","796cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/51459612/chevrolet-matiz-0-8-38-kw",2022-08-24
"Toyota","Aygo X","Black interior","8699","92000km","6/2018","Manual","51 kW (69 hp)","998cc","Petrol","4.1 l/100km","4x2","Germany","https://carvago.com/car/51037746/toyota-aygo-x-51-kw",2022-08-24
"BMW","118","White","30249","35988km","7/2021","Automatic","100 kW (136 hp)","15000cc","Petrol","4 l/100km","4x2","Belgium","https://carvago.com/car/51225396/bmw-118-i-100-kw",2022-08-24
"Dodge","RAM","Grey","52249","14190km","8/2021","Automatic","295 kW (401 hp)","5654cc","LPG","4x4",NA,"Netherlands","https://carvago.com/car/51552411/dodge-ram-sport-295-kw",2022-08-24
"Dodge","RAM","White","39099","2245km","1/2021","Automatic","287 kW (390 hp)","5654cc","LPG","4x4",NA,"Poland","https://carvago.com/car/51496543/dodge-ram-287-kw",2022-08-24
"Toyota","Aygo X","Black interior","9199","74000km","4/2018","Manual","51 kW (69 hp)","998cc","Petrol","4.1 l/100km","4x2","Germany","https://carvago.com/car/50926346/toyota-aygo-x-51-kw",2022-08-24
"Hyundai","i10","White","2799","120000km","11/2009","Manual","49 kW (67 hp)","1086cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/51513112/hyundai-i10-1-1-49-kw",2022-08-24
"Dodge","Challenger","White","42949","2613km","7/2020","Automatic","362 kW (492 hp)","6417cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51354003/dodge-challenger-362-kw",2022-08-24
"Hyundai","i10","Red","3199","150000km","2/2010","Manual","49 kW (67 hp)","1086cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/50336024/hyundai-i10-1-1-49-kw",2022-08-24
"Toyota","Land Cruiser","Brown interior","58349","20km","3/2022","Manual","200 kW (272 hp)","4000cc","Petrol","14 l/100km","4x4","Germany","https://carvago.com/car/51416744/toyota-land-cruiser-4-0-v6-200-kw",2022-08-24
"Dodge","Charger","Red","50199","23000km","4/2021","Automatic","362 kW (492 hp)","6417cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51541402/dodge-charger-362-kw",2022-08-24
"Ford","Kuga","Green","26699","70236km","1/2018","Automatic","178 kW (242 hp)","1999cc","Petrol","8.7 l/100km","4x2","Germany","https://carvago.com/car/49127221/ford-kuga-178-kw",2022-08-24
"Skoda","Yeti","White","8899","111872km","2/2013","Automatic","112 kW (152 hp)","1798cc","Petrol","8 l/100km","4x4","Germany","https://carvago.com/car/50931539/skoda-yeti-1-8-tsi-dsg-4x4-ambition-112-kw",2022-08-24
"Dacia","Sandero","Blue","2899","124225km","3/2009","Manual","55 kW (75 hp)","1390cc","Petrol","7 l/100km","4x2","Germany","https://carvago.com/car/50033162/dacia-sandero-1-4-mpi-55-kw",2022-08-24
"Toyota","Hilux","White","25799","0km","1/2022","Manual","70 kW (95 hp)","2986cc","Diesel","8.9 l/100km","4x4","Belgium","https://carvago.com/car/44173335/toyota-hilux-70-kw",2022-08-24
