"brand","model","color","price","km","year","transmission","eng_power","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate"
"Opel","Crossland X","Orange","15899","69000km","8/2017","Manual","88 kW (120 hp)","15600cc","Diesel","4 l/100km","4x2","Germany","https://carvago.com/car/51680313/opel-crossland-x-diesel-innovation-88-kw",2022-09-07
"Volkswagen","T-Roc","White","35749","4900km","5/2022","Manual","110 kW (150 hp)","14980cc","Petrol","6.6 l/100km","4x2","Germany","https://carvago.com/car/50091982/volkswagen-t-roc-tsi-110-kw",2022-09-07
"Kia","XCeed","Silver","24649","19500km","10/2020","Manual","103 kW (140 hp)","13534cc","Petrol","6.2 l/100km","4x2","Germany","https://carvago.com/car/50175449/kia-xceed-103-kw",2022-09-07
"Dodge","RAM","Grey","63149","14190km","8/2021","Automatic","295 kW (401 hp)","5654cc","LPG","4x4",NA,"Netherlands","https://carvago.com/car/51552411/dodge-ram-sport-295-kw",2022-09-07
"Opel","Astra","Blue","3899","110000km","3/2009","Manual","66 kW (90 hp)","1364cc","Petrol","6 l/100km","4x2","Germany","https://carvago.com/car/50098203/opel-astra-1-4-66-kw",2022-09-07
"Dodge","RAM","White","39699","2245km","1/2021","Automatic","287 kW (390 hp)","5654cc","LPG","4x4",NA,"Poland","https://carvago.com/car/51496543/dodge-ram-287-kw",2022-09-07
"Dodge","RAM","Black","66999","308km","2/2022","Automatic","295 kW (401 hp)","5654cc","LPG","4x4",NA,"Netherlands","https://carvago.com/car/50034520/dodge-ram-295-kw",2022-09-07
"Kia","Sportage","Grey","47949","10000km","1/2022","Automatic","132 kW (179 hp)","15985cc","Petrol","6 l/100km","4x4","Germany","https://carvago.com/car/49345609/kia-sportage-awd-dct-132-kw",2022-09-07
"Dodge","Challenger","White","42949","2613km","7/2020","Automatic","362 kW (492 hp)","6417cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51354003/dodge-challenger-362-kw",2022-09-07
"Alfa Romeo","Giulia","Blue","21099","10000km","1/2021","Automatic","100 kW (136 hp)","2143cc","Diesel","4.2 l/100km","4x2","Italy","https://carvago.com/car/51752534/alfa-romeo-giulia-100-kw",2022-09-07
"Chevrolet","Matiz","Black","2849","89824km","3/2009","Manual","38 kW (52 hp)","796cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/51688615/chevrolet-matiz-0-8-s-38-kw",2022-09-07
"Dodge","RAM","White","38099","56481km","1/2019","Automatic","287 kW (390 hp)","5654cc","LPG","4x4",NA,"Poland","https://carvago.com/car/46410112/dodge-ram-287-kw",2022-09-07
"Dacia","Sandero","Blue","2899","124225km","3/2009","Manual","55 kW (75 hp)","1390cc","Petrol","7 l/100km","4x2","Germany","https://carvago.com/car/50033162/dacia-sandero-1-4-mpi-55-kw",2022-09-07
"Skoda","Fabia","Grey","3599","116818km","8/2009","Manual","44 kW (60 hp)","1198cc","Petrol","5.9 l/100km","4x2","Germany","https://carvago.com/car/50282652/skoda-fabia-1-2-htp-44-kw",2022-09-07
"Dacia","Sandero","Red","3699","94000km","12/2009","Manual","55 kW (75 hp)","1390cc","Petrol","6.5 l/100km","4x2","Germany","https://carvago.com/car/50473963/dacia-sandero-1-4-mpi-55-kw",2022-09-07
"Dodge","RAM","Black","58399","400km","5/2021","Automatic","295 kW (401 hp)","5700cc","Petrol","14.2 l/100km","4x4","Germany","https://carvago.com/car/49563338/dodge-ram-295-kw",2022-09-07
"Mercedes-Benz","GLB 35 AMG","Blue","46349","29298km","6/2021","Automatic","225 kW (306 hp)","2000cc","Petrol","7 l/100km","4x4","Spain","https://carvago.com/car/51739272/mercedes-benz-glb-35-amg-4matic-225-kw",2022-09-07
"Dodge","RAM","Black","40849","34200km","2/2020","Automatic","295 kW (401 hp)","5700cc","Petrol","4x4",NA,"Germany","https://carvago.com/car/48031646/dodge-ram-295-kw",2022-09-07
"Toyota","Aygo","White","9949","60813km","8/2018","Manual","51 kW (69 hp)","998cc","Petrol","3.8 l/100km","4x2","Netherlands","https://carvago.com/car/51481623/toyota-aygo-51-kw",2022-09-07
"BMW","120","Black","34499","18000km","5/2021","Automatic","140 kW (190 hp)","1995cc","Diesel","4.3 l/100km","4x2","Italy","https://carvago.com/car/50998226/bmw-120-140-kw",2022-09-07
"Chevrolet","Spark","Black","2999","111165km","4/2010","Manual","60 kW (82 hp)","1206cc","Petrol","5.1 l/100km","4x2","Germany","https://carvago.com/car/50348330/chevrolet-spark-1-2-60-kw",2022-09-07
"Chevrolet","Matiz","Orange","3349","65120km","6/2009","Manual","38 kW (52 hp)","796cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/51508853/chevrolet-matiz-0-8-38-kw",2022-09-07
"Volkswagen","Caddy","Brown","15799","97109km","3/2017","Manual","75 kW (102 hp)","1968cc","Diesel","5 l/100km","4x2","France","https://carvago.com/car/50485026/volkswagen-caddy-2-0-tdi-75-kw",2022-09-07
"Mercedes-Benz","C 220","Grey","27349","73000km","7/2017","Manual","120 kW (163 hp)","24900cc","Diesel","4 l/100km","4x2","Belgium","https://carvago.com/car/51616111/mercedes-benz-c-220-d-avantgarde-120-kw",2022-09-07
"Dodge","Charger","Red","43849","36000km","6/2020","Automatic","362 kW (492 hp)","6417cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51171342/dodge-charger-362-kw",2022-09-07
"Dodge","Charger","Red","43949","36000km","5/2020","Automatic","362 kW (492 hp)","6417cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51158810/dodge-charger-362-kw",2022-09-07
"Toyota","Hilux","White","20449","24570km","4/2016","Manual","106 kW (144 hp)","2494cc","Diesel","7.3 l/100km","4x4","Germany","https://carvago.com/car/51584386/toyota-hilux-d-cab-2-5-4d-f-4wd-106-kw",2022-09-07
"Fiat","Talento","White","17749","70000km","12/2019","Manual","92 kW (125 hp)","1598cc","Diesel","6 l/100km","4x2","Germany","https://carvago.com/car/49874380/fiat-talento-l2h1-sx-92-kw",2022-09-07
"Audi","A3","Black","26399","11860km","1/2020","Automatic","140 kW (190 hp)","1984cc","Petrol","6 l/100km","4x2","Poland","https://carvago.com/car/51160015/audi-a3-2-0-tfsi-140-kw",2022-09-07
"Ford","Kuga","Grey","26249","34537km","12/2019","Automatic","169 kW (230 hp)","1998cc","Petrol","9.5 l/100km","4x4","Germany","https://carvago.com/car/50464576/ford-kuga-2-0-ecoboost-4x4-st-line-169-kw",2022-09-07
"BMW","118","Other interior color","24349","24500km","8/2020","Automatic","112 kW (152 hp)","1995cc","Diesel","4 l/100km","4x2","France","https://carvago.com/car/49027638/bmw-118-d-112-kw",2022-09-07
"Alfa Romeo","Giulia","Silver","27499","13600km","1/2019","Automatic","206 kW (280 hp)","1995cc","Petrol","7 l/100km","4x4","Poland","https://carvago.com/car/51742175/alfa-romeo-giulia-2-0-turbo-16v-veloce-ti-206-kw",2022-09-07
"Dacia","Sandero","White","3599","41000km","7/2010","Manual","55 kW (75 hp)","1390cc","Petrol","7 l/100km","4x2","Germany","https://carvago.com/car/51201425/dacia-sandero-1-4-mpi-55-kw",2022-09-07
"Audi","Q2","Red","24249","12800km","3/2021","Manual","110 kW (150 hp)","1968cc","Diesel","4.5 l/100km","4x2","Italy","https://carvago.com/car/51635059/audi-q2-35-tdi-sport-110-kw",2022-09-07
"Audi","Q5","White","43849","34000km","1/2021","Automatic","150 kW (204 hp)","1968cc","Diesel","6 l/100km","4x4","Poland","https://carvago.com/car/51644273/audi-q5-40-tdi-quattro-s-tronic-s-line-150-kw",2022-09-07
"Volkswagen","Tiguan","Black","27349","66309km","4/2018","Manual","92 kW (125 hp)","13950cc","Petrol","5 l/100km","4x2","Belgium","https://carvago.com/car/50894321/volkswagen-tiguan-tsi-92-kw",2022-09-07
"Jeep","Grand Cherokee","Blue","43899","5000km","1/2020","Automatic","259 kW (352 hp)","5654cc","Petrol","8 l/100km","4x4","Germany","https://carvago.com/car/51431089/jeep-grand-cherokee-259-kw",2022-09-07
"Toyota","Yaris","Black","3799","145000km","8/2009","Manual","51 kW (69 hp)","998cc","Petrol","5 l/100km","4x2","Germany","https://carvago.com/car/51768941/toyota-yaris-1-0-cool-51-kw",2022-09-07
"Volkswagen","Amarok","Grey","21499","133500km","9/2012","Automatic","132 kW (179 hp)","1968cc","Diesel","8 l/100km","4x4","Germany","https://carvago.com/car/50042622/volkswagen-amarok-2-0-bitdi-4motion-automatic-bluemotion-technology-132-kw",2022-09-07
"Chevrolet","Matiz","White","3099","113165km","9/2009","Manual","38 kW (52 hp)","796cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/50430342/chevrolet-matiz-0-8-s-38-kw",2022-09-07
"Peugeot","208","Other interior color","10149","72329km","1/2019","Manual","74 kW (101 hp)","1560cc","Diesel","5 l/100km","4x2","France","https://carvago.com/car/50866850/peugeot-208-74-kw",2022-09-07
"Skoda","Yeti","White","9399","151082km","10/2013","Manual","103 kW (140 hp)","1968cc","Diesel","6 l/100km","4x4","Germany","https://carvago.com/car/51590027/skoda-yeti-2-0-tdi-103-kw",2022-09-07
"Dodge","Charger","Silver","57499","1800km","5/2021","Automatic","362 kW (492 hp)","6424cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51269860/dodge-charger-362-kw",2022-09-07
"Suzuki","Vitara","Grey","13999","77780km","11/2017","Automatic","103 kW (140 hp)","1373cc","Petrol","5.2 l/100km","4x4","Germany","https://carvago.com/car/51457885/suzuki-vitara-103-kw",2022-09-07
"BMW","220","Blue","28899","10400km","3/2020","Automatic","140 kW (190 hp)","1995cc","Diesel","4.6 l/100km","4x2","Germany","https://carvago.com/car/51678048/bmw-220-140-kw",2022-09-07
