"brand","model","color","price","km","year","transmission","eng_power","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate"
"Opel","Crossland X","Orange","15899","69000km","8/2017","Manual","88 kW (120 hp)","15600cc","Diesel","4 l/100km","4x2","Germany","https://carvago.com/car/51680313/opel-crossland-x-diesel-innovation-88-kw",2022-09-25
"Volkswagen","T-Roc","White","35749","5400km","5/2022","Manual","110 kW (150 hp)","14980cc","Petrol","6.6 l/100km","4x2","Germany","https://carvago.com/car/50091982/volkswagen-t-roc-tsi-110-kw",2022-09-25
"Kia","XCeed","Silver","24649","19500km","10/2020","Manual","103 kW (140 hp)","13534cc","Petrol","6.2 l/100km","4x2","Germany","https://carvago.com/car/50175449/kia-xceed-103-kw",2022-09-25
"Toyota","Land Cruiser","Brown interior","56949","20km","3/2022","Manual","200 kW (272 hp)","4000cc","Petrol","14 l/100km","4x4","Germany","https://carvago.com/car/51771135/toyota-land-cruiser-4-0-v6-200-kw",2022-09-25
"Renault","Clio","Grey","3849","173679km","12/2009","Manual","72 kW (98 hp)","1395cc","Petrol","5.6 l/100km","4x2","Germany","https://carvago.com/car/50042331/renault-clio-estate-tce-100-72-kw",2022-09-25
"Dodge","RAM","White","39299","2245km","1/2021","Automatic","287 kW (390 hp)","5654cc","LPG","4x4",NA,"Poland","https://carvago.com/car/51496543/dodge-ram-287-kw",2022-09-25
"Opel","Antara","Black","7899","123500km","6/2015","Manual","120 kW (163 hp)","2231cc","Diesel","6.3 l/100km","4x2","Germany","https://carvago.com/car/51577135/opel-antara-2-2-cdti-ecoflex-selection-120-kw",2022-09-25
"Chevrolet","Matiz","Other interior color","3099","56157km","8/2009","Manual","38 kW (52 hp)","796cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/51896722/chevrolet-matiz-0-8-s-38-kw",2022-09-25
"Chevrolet","Spark","Green","3249","133000km","9/2011","Manual","50 kW (68 hp)","995cc","Petrol","5.1 l/100km","4x2","Germany","https://carvago.com/car/51069074/chevrolet-spark-1-0-ls-50-kw",2022-09-25
"BMW","120","Black","34499","18000km","5/2021","Automatic","140 kW (190 hp)","1995cc","Diesel","4.3 l/100km","4x2","Italy","https://carvago.com/car/50998226/bmw-120-140-kw",2022-09-25
"Renault","Fluence","Grey","6399","99986km","3/2011","Manual","103 kW (140 hp)","1998cc","Petrol","7.9 l/100km","4x2","Germany","https://carvago.com/car/51440755/renault-fluence-2-0-16v-140-dynamique-103-kw",2022-09-25
"Mercedes-Benz","E 63 AMG","Brown","52299","35000km","5/2015","Automatic","430 kW (585 hp)","5461cc","Petrol","10.5 l/100km","4x4","Germany","https://carvago.com/car/34668213/mercedes-benz-e-63-amg-e-t-s-4matic-mct-430-kw",2022-09-25
"Dodge","RAM","White","37699","56481km","1/2019","Automatic","287 kW (390 hp)","5654cc","LPG","4x4",NA,"Poland","https://carvago.com/car/46410112/dodge-ram-287-kw",2022-09-25
"BMW","320","White","13899","129500km","3/2016","Manual","135 kW (184 hp)","4l/100km","Petrol","5 l/100km","4x2","Germany","https://carvago.com/car/51842934/bmw-320-i-advantage-135-kw",2022-09-25
"Suzuki","SX4 S-Cross","Silver","9899","103000km","8/2015","Automatic","88 kW (120 hp)","1586cc","Petrol","6 l/100km","4x2","Germany","https://carvago.com/car/51589788/suzuki-sx4-s-cross-1-6-vvt-cvt-88-kw",2022-09-25
"Dodge","RAM","Black","40849","34200km","2/2020","Automatic","295 kW (401 hp)","5700cc","Petrol","4x4",NA,"Germany","https://carvago.com/car/48031646/dodge-ram-295-kw",2022-09-25
"Volkswagen","Tiguan","Black","27349","66309km","4/2018","Manual","92 kW (125 hp)","13950cc","Petrol","5 l/100km","4x2","Belgium","https://carvago.com/car/50894321/volkswagen-tiguan-tsi-92-kw",2022-09-25
"Dacia","Sandero","Blue","2899","124225km","3/2009","Manual","55 kW (75 hp)","1390cc","Petrol","7 l/100km","4x2","Germany","https://carvago.com/car/50033162/dacia-sandero-1-4-mpi-55-kw",2022-09-25
"Opel","Corsa","Blue","3399","166583km","8/2009","Manual","59 kW (80 hp)","1229cc","Petrol","6.1 l/100km","4x2","Germany","https://carvago.com/car/51831606/opel-corsa-1-2-16v-59-kw",2022-09-25
"Audi","Q3","Black","26149","61000km","4/2020","Automatic","110 kW (150 hp)","1968cc","Diesel","4.7 l/100km","4x2","Italy","https://carvago.com/car/51899522/audi-q3-s-sportback-35-tdi-tronic-110-kw",2022-09-25
"BMW","M550","Grey","19299","166001km","10/2015","Automatic","280 kW (381 hp)","2993cc","Diesel","6 l/100km","4x4","Germany","https://carvago.com/car/51902225/bmw-m550-d-touring-xdrive-280-kw",2022-09-25
"DFSK","Seres 3","Red","33599","4500km","4/2022","Manual","120 kW (163 hp)",NA,"Electric","18 kWh/100km","4x2","Germany","https://carvago.com/car/50746335/dfsk-seres-120-kw",2022-09-25
"Cadillac","XT4","Silver","35149","8500km","4/2021","Automatic","128 kW (174 hp)","1995cc","Diesel","5.8 l/100km","4x2","Germany","https://carvago.com/car/43942630/cadillac-xt4-350d-128-kw",2022-09-25
"BMW","220","Grey","26049","34200km","10/2019","Automatic","140 kW (190 hp)","1995cc","Diesel","4.8 l/100km","4x4","Germany","https://carvago.com/car/51836722/bmw-220-140-kw",2022-09-25
"Audi","Q5","White","43399","34000km","1/2021","Automatic","150 kW (204 hp)","1968cc","Diesel","6 l/100km","4x4","Poland","https://carvago.com/car/51644273/audi-q5-40-tdi-quattro-s-tronic-s-line-150-kw",2022-09-25
"Kia","cee'd / Ceed","Silver","5199","162000km","1/2012","Manual","77 kW (105 hp)","1396cc","Petrol","6 l/100km","4x2","Poland","https://carvago.com/car/51870474/kia-cee-d-ceed-1-4-16v-77-kw",2022-09-25
"Skoda","Kodiaq","Grey","23599","90452km","1/2017","Automatic","140 kW (190 hp)","1968cc","Diesel","6 l/100km","4x4","Poland","https://carvago.com/car/51473171/skoda-kodiaq-2-0-tdi-4x4-dsg-140-kw",2022-09-25
"BMW","220","Silver","23049","79988km","11/2019","Automatic","140 kW (190 hp)","1995cc","Diesel","4.6 l/100km","4x2","Germany","https://carvago.com/car/49463795/bmw-220-140-kw",2022-09-25
"BMW","125",NA,"28299","59000km","1/2019","Automatic","165 kW (224 hp)","1998cc","Petrol","6 l/100km","4x2","Poland","https://carvago.com/car/51455789/bmw-125-165-kw",2022-09-25
"BMW","220","Silver","22199","88599km","9/2019","Automatic","140 kW (190 hp)","1995cc","Diesel","4.6 l/100km","4x2","Germany","https://carvago.com/car/49504870/bmw-220-140-kw",2022-09-25
"Opel","Insignia","Black","11399","105035km","1/2017","Manual","125 kW (170 hp)","1956cc","Diesel","6 l/100km","4x2","Poland","https://carvago.com/car/51779228/opel-insignia-2-0-cdti-ecoflex-edition-125-kw",2022-09-25
"BMW","118","Other interior color","24349","24500km","8/2020","Automatic","112 kW (152 hp)","1995cc","Diesel","4 l/100km","4x2","France","https://carvago.com/car/49027638/bmw-118-d-112-kw",2022-09-25
"Ford","Fusion","Black","5299","85000km","10/2009","Manual","59 kW (80 hp)","1388cc","Petrol","6.5 l/100km","4x2","Germany","https://carvago.com/car/50023756/ford-fusion-1-4-style-59-kw",2022-09-25
"BMW","120","Red","24549","11320km","7/2019","Automatic","140 kW (190 hp)","1995cc","Diesel","5 l/100km","4x4","Sweden","https://carvago.com/car/50845167/bmw-120-140-kw",2022-09-25
"BMW","X1","White","33849","30600km","3/2019","Automatic","140 kW (190 hp)","1995cc","Diesel","4.8 l/100km","4x4","Germany","https://carvago.com/car/49973227/bmw-x1-20d-140-kw",2022-09-25
"BMW","220","Silver","25149","69988km","9/2019","Automatic","140 kW (190 hp)","1995cc","Diesel","4.6 l/100km","4x2","Germany","https://carvago.com/car/48348294/bmw-220-140-kw",2022-09-25
"MG","ZS","Blue","30999","3120km","6/2022","Automatic","130 kW (177 hp)","2497cc","Electric","4x2",NA,"Germany","https://carvago.com/car/50707799/mg-zs-130-kw",2022-09-25
"Hyundai","i10","Blue","2899","132400km","9/2009","Manual","57 kW (77 hp)","1248cc","Petrol","5 l/100km","4x2","Germany","https://carvago.com/car/51251879/hyundai-i10-1-2-classic-57-kw",2022-09-25
"MG","ZS","Silver","30999","3166km","6/2022","Automatic","130 kW (177 hp)","2497cc","Electric","4x2",NA,"Germany","https://carvago.com/car/50735600/mg-zs-130-kw",2022-09-25
"Ford","Fiesta","Black","5899","123000km","3/2014","Manual","74 kW (101 hp)","998cc","Petrol","4.5 l/100km","4x2","Germany","https://carvago.com/car/50943489/ford-fiesta-1-0-ecoboost-titanium-74-kw",2022-09-25
"BMW","M3","Grey","33049","83000km","9/2011","Manual","309 kW (420 hp)","3999cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51370565/bmw-m3-309-kw",2022-09-25
"Audi","S6","Black","47849","71120km","12/2017","Automatic","332 kW (451 hp)","3993cc","Petrol","9 l/100km","4x4","Sweden","https://carvago.com/car/47667670/audi-s6-avant-4-0-tfsi-quattro-332-kw",2022-09-25
"BMW","X1","Black","33549","36409km","1/2021","Automatic","110 kW (150 hp)","1995cc","Diesel","4.3 l/100km","4x2","Italy","https://carvago.com/car/50819016/bmw-x1-110-kw",2022-09-25
"Jeep","Renegade","Other interior color","26149","28415km","8/2021","Manual","96 kW (131 hp)","1598cc","Diesel","4.8 l/100km","4x2","Spain","https://carvago.com/car/51013474/jeep-renegade-96-kw",2022-09-25
"DS Automobiles","DS9","Black","50649","5000km","7/2021","Automatic","165 kW (224 hp)","1598cc","Hybrid","1.5 l/100km","4x2","Spain","https://carvago.com/car/51869673/ds-automobiles-ds9-1-6-e-tense-eat8-165-kw",2022-09-25
"Mercedes-Benz","E 220","Black","47899","7000km","1/2021","Automatic","143 kW (194 hp)","1950cc","Diesel","5 l/100km","4x4","Poland","https://carvago.com/car/51704564/mercedes-benz-e-220-d-4matic-143-kw",2022-09-25
"Dodge","Charger","Grey","30449","56000km","7/2017","Automatic","274 kW (373 hp)","5654cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51172599/dodge-charger-274-kw",2022-09-25
"Dodge","Charger","Purple","57499","4000km","3/2021","Automatic","362 kW (492 hp)","6417cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51140892/dodge-charger-362-kw",2022-09-25
"Volvo","S90","Black","38549","23730km","6/2019","Automatic","228 kW (310 hp)","1969cc","Petrol","8 l/100km","4x4","Sweden","https://carvago.com/car/50251038/volvo-s90-t6-awd-228-kw",2022-09-25
"Volkswagen","Arteon","Red","40249","16070km","7/2021","Automatic","147 kW (200 hp)","1968cc","Diesel","5 l/100km","4x4","Sweden","https://carvago.com/car/50208317/volkswagen-arteon-147-kw",2022-09-25
"Volkswagen","Tiguan","Black","29799","32980km","6/2020","Automatic","140 kW (190 hp)","1968cc","Diesel","7 l/100km","4x4","Sweden","https://carvago.com/car/51663904/volkswagen-tiguan-140-kw",2022-09-25
"BMW","220","Silver","23199","79900km","9/2019","Automatic","140 kW (190 hp)","1995cc","Diesel","4.6 l/100km","4x2","Germany","https://carvago.com/car/49500602/bmw-220-140-kw",2022-09-25
"Dodge","Charger","Yellow","38349","49000km","10/2017","Automatic","280 kW (381 hp)","5700cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/44084627/dodge-charger-280-kw",2022-09-25
"Mercedes-Benz","C 180","Beige","8399","139500km","6/2010","Automatic","115 kW (156 hp)","1796cc","Petrol","8.2 l/100km","4x2","Germany","https://carvago.com/car/51235705/mercedes-benz-c-180-t-cgi-115-kw",2022-09-25
"Renault","Master","White","14899","159967km","1/2017","Manual","125 kW (170 hp)","2298cc","Diesel","7 l/100km","4x2","Netherlands","https://carvago.com/car/51631236/renault-master-125-kw",2022-09-25
"Citroen","C3","Grey","2399","108990km","12/2009","Manual","44 kW (60 hp)","1124cc","Petrol","6.5 l/100km","4x2","Germany","https://carvago.com/car/51810699/citroen-c3-1-1-tonic-44-kw",2022-09-25
"BMW","120","Grey","23299","31690km","7/2019","Automatic","140 kW (190 hp)","1995cc","Diesel","5 l/100km","4x4","Sweden","https://carvago.com/car/51681560/bmw-120-140-kw",2022-09-25
"Mercedes-Benz","E 220","Black","50999","19806km","6/2021","Automatic","143 kW (194 hp)","1950cc","Diesel","5 l/100km","4x2","Germany","https://carvago.com/car/51075656/mercedes-benz-e-220-d-t-avantgarde-143-kw",2022-09-25
"Audi","A3","Grey","29399","586km","4/2022","Automatic","110 kW (150 hp)","1498cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/51762157/audi-a3-35-tfsi-s-limousine-tronic-110-kw",2022-09-25
"Dacia","Duster","Black","11399","37842km","1/2017","Manual","84 kW (114 hp)","1598cc","Petrol","6 l/100km","4x2","Poland","https://carvago.com/car/51747170/dacia-duster-sce-115-4x2-laureate-84-kw",2022-09-25
"Peugeot","208","Red","29649","5858km","10/2020","Automatic","100 kW (136 hp)","Euro6","Electric","4x2",NA,"France","https://carvago.com/car/48626609/peugeot-208-136-allure-100-kw",2022-09-25
"BMW","220","Silver","25649","85700km","11/2019","Automatic","140 kW (190 hp)","1995cc","Diesel","4.6 l/100km","4x4","Germany","https://carvago.com/car/49347436/bmw-220-140-kw",2022-09-25
"Audi","A5","White","37649","11000km","8/2020","Automatic","180 kW (245 hp)","1984cc","Petrol","6.5 l/100km","4x4","Sweden","https://carvago.com/car/51647350/audi-a5-45-tfsi-quattro-180-kw",2022-09-25
"Audi","A5","White","32499","48780km","8/2020","Automatic","180 kW (245 hp)","1984cc","Petrol","6.5 l/100km","4x4","Sweden","https://carvago.com/car/51841804/audi-a5-coupe-45-tfsi-quattro-180-kw",2022-09-25
"Skoda","Yeti","White","8899","111872km","2/2013","Automatic","112 kW (152 hp)","1798cc","Petrol","8 l/100km","4x4","Germany","https://carvago.com/car/50931539/skoda-yeti-1-8-tsi-dsg-4x4-ambition-112-kw",2022-09-25
"BMW","120","Black","36099","24965km","1/2021","Automatic","140 kW (190 hp)","1995cc","Diesel","4.3 l/100km","4x2","Germany","https://carvago.com/car/49810956/bmw-120-140-kw",2022-09-25
"Mercedes-Benz","A 250","Black","36199","5863km","1/2022","Manual","118 kW (160 hp)","1332cc","Hybrid","7 l/100km","4x2","Germany","https://carvago.com/car/51190797/mercedes-benz-a-250-e-118-kw",2022-09-25
"Cupra","Formentor","Red","34499","14241km","8/2021","Manual","110 kW (150 hp)","1968cc","Diesel","4x2",NA,"Spain","https://carvago.com/car/51775697/cupra-formentor-110-kw",2022-09-25
"BMW","318","White","6899","139000km","11/2010","Manual","105 kW (143 hp)","1995cc","Petrol","6.3 l/100km","4x2","Germany","https://carvago.com/car/50930502/bmw-318-i-105-kw",2022-09-25
"Volkswagen","Tiguan","White","29799","32360km","3/2020","Automatic","140 kW (190 hp)","1984cc","Petrol","7 l/100km","4x4","Sweden","https://carvago.com/car/51478991/volkswagen-tiguan-2-0-tsi-opf-4motion-dsg-140-kw",2022-09-25
"Nissan","Navara","White","26299","74545km","7/2016","Manual","140 kW (190 hp)","2298cc","Diesel","6 l/100km","4x4","Germany","https://carvago.com/car/50168357/nissan-navara-dc-4x4-eu6-s-s-140-kw",2022-09-25
