"brand","model","color","price","km","year","transmission","eng_power","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate"
"Dodge","Charger","Blue","16849","47000km","7/2016","Automatic","287 kW (390 hp)","5700ccm","Petrol","4x4",NA,"Germany","https://carvago.com/car/52455650/dodge-charger-287-kw",2022-11-06
"Volkswagen","T-Roc","White","35749","7866km","5/2022","Manual","110 kW (150 hp)","14980ccm","Petrol","6.6 l/100km","4x2","Germany","https://carvago.com/car/50091982/volkswagen-t-roc-tsi-110-kw",2022-11-06
"Kia","XCeed","Silver","24649","19500km","10/2020","Manual","103 kW (140 hp)","13534ccm","Petrol","6.2 l/100km","4x2","Germany","https://carvago.com/car/50175449/kia-xceed-103-kw",2022-11-06
"Opel","Insignia","Black","8899","135000km","4/2009","Manual","221 kW (300 hp)","1998ccm","Petrol","9.3 l/100km","4x4","Germany","https://carvago.com/car/52016743/opel-insignia-221-kw",2022-11-06
"Dacia","Duster","Red","20599","22399km","1/2022","Manual","85 kW (116 hp)","4161ccm","Diesel","6 l/100km","4x2","Belgium","https://carvago.com/car/52502965/dacia-duster-dci-115-2wd-prestige-85-kw",2022-11-06
"Ford","Kuga","Grey","33049","1500km","5/2022","Manual","110 kW (150 hp)","14496ccm","Petrol","6 l/100km","4x2","Czech Republic","https://carvago.com/car/52531140/ford-kuga-2x4-st-line-110-kw",2022-11-06
"Peugeot","3008","Red","4999","146400km","1/2011","Manual","82 kW (111 hp)","1560ccm","Diesel","5.2 l/100km","4x2","Czech Republic","https://carvago.com/car/52072799/peugeot-3008-hdi-fap-110-82-kw",2022-11-06
"Chevrolet","Matiz","Silver","2649","127964km","6/2009","Manual","38 kW (52 hp)","796ccm","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/52415660/chevrolet-matiz-0-8-38-kw",2022-11-06
"Dodge","RAM","Black","69499","308km","2/2022","Automatic","295 kW (401 hp)","5654ccm","LPG","4x4",NA,"Netherlands","https://carvago.com/car/52172049/dodge-ram-295-kw",2022-11-06
"Audi","A6","Silver","46849","39876km","8/2018","Automatic","210 kW (286 hp)","2967ccm","Diesel","5.8 l/100km","4x4","Germany","https://carvago.com/car/51558760/audi-a6-50-tdi-quattro-210-kw",2022-11-06
"Dodge","RAM","Black","51249","16433km","6/2021","Automatic","296 kW (402 hp)","5654ccm","LPG","12.8 l/100km","4x4","Netherlands","https://carvago.com/car/52038662/dodge-ram-296-kw",2022-11-06
