"brand","model","color","price","km","year","transmission","eng_power","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate"
"Volkswagen","T-Roc","White","35749","4900km","5/2022","Manual","110 kW (150 hp)","14980cc","Petrol","6.6 l/100km","4x2","Germany","https://carvago.com/car/50091982/volkswagen-t-roc-tsi-110-kw",2022-08-26
"Citroen","C-Crosser","Grey","5649","144000km","7/2011","Automatic","115 kW (156 hp)","2179cc","Diesel","7.4 l/100km","4x4","Germany","https://carvago.com/car/51539800/citroen-c-crosser-exclusive-115-kw",2022-08-26
"Renault","Clio","Grey","15599","13884km","11/2019","Manual","66 kW (90 hp)","14641cc","Diesel","6 l/100km","4x2","Belgium","https://carvago.com/car/48302236/renault-clio-dci-85-business-66-kw",2022-08-26
"Kia","XCeed","Silver","24649","19500km","10/2020","Manual","103 kW (140 hp)","13534cc","Petrol","6.2 l/100km","4x2","Germany","https://carvago.com/car/50175449/kia-xceed-103-kw",2022-08-26
"Chevrolet","Matiz","Blue","2849","75000km","12/2009","Manual","38 kW (52 hp)","796cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/51459612/chevrolet-matiz-0-8-38-kw",2022-08-26
"Toyota","Aygo X","Black interior","8699","92000km","6/2018","Manual","51 kW (69 hp)","998cc","Petrol","4.1 l/100km","4x2","Germany","https://carvago.com/car/51037746/toyota-aygo-x-51-kw",2022-08-26
"BMW","118","White","30249","35988km","7/2021","Automatic","100 kW (136 hp)","15000cc","Petrol","4 l/100km","4x2","Belgium","https://carvago.com/car/51225396/bmw-118-i-100-kw",2022-08-26
"Dodge","RAM","Grey","52249","14190km","8/2021","Automatic","295 kW (401 hp)","5654cc","LPG","4x4",NA,"Netherlands","https://carvago.com/car/51552411/dodge-ram-sport-295-kw",2022-08-26
"Dodge","RAM","White","39299","2245km","1/2021","Automatic","287 kW (390 hp)","5654cc","LPG","4x4",NA,"Poland","https://carvago.com/car/51496543/dodge-ram-287-kw",2022-08-26
"Chevrolet","Niva","Grey","11899","16781km","3/2017","Manual","59 kW (80 hp)","1690cc","Petrol","9.5 l/100km","4x4","Germany","https://carvago.com/car/51167441/chevrolet-niva-1-7-4x4-59-kw",2022-08-26
"Toyota","Aygo X","Black interior","9199","74000km","4/2018","Manual","51 kW (69 hp)","998cc","Petrol","4.1 l/100km","4x2","Germany","https://carvago.com/car/50926346/toyota-aygo-x-51-kw",2022-08-26
"Peugeot","308","Blue","4749","86210km","1/2010","Manual","110 kW (150 hp)","1598cc","Petrol","7.5 l/100km","4x2","Germany","https://carvago.com/car/51603850/peugeot-308-sw-150-thp-110-kw",2022-08-26
"Dodge","Challenger","White","42949","2613km","7/2020","Automatic","362 kW (492 hp)","6417cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51354003/dodge-challenger-362-kw",2022-08-26
"Hyundai","i10","Red","3199","150000km","2/2010","Manual","49 kW (67 hp)","1086cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/50336024/hyundai-i10-1-1-49-kw",2022-08-26
"Toyota","Land Cruiser","Brown interior","58349","20km","3/2022","Manual","200 kW (272 hp)","4000cc","Petrol","14 l/100km","4x4","Germany","https://carvago.com/car/51416744/toyota-land-cruiser-4-0-v6-200-kw",2022-08-26
"Ford","Kuga","Green","26699","70236km","1/2018","Automatic","178 kW (242 hp)","1999cc","Petrol","8.7 l/100km","4x2","Germany","https://carvago.com/car/49127221/ford-kuga-178-kw",2022-08-26
"Skoda","Yeti","White","8899","111872km","2/2013","Automatic","112 kW (152 hp)","1798cc","Petrol","8 l/100km","4x4","Germany","https://carvago.com/car/50931539/skoda-yeti-1-8-tsi-dsg-4x4-ambition-112-kw",2022-08-26
"Dacia","Sandero","Blue","2899","124225km","3/2009","Manual","55 kW (75 hp)","1390cc","Petrol","7 l/100km","4x2","Germany","https://carvago.com/car/50033162/dacia-sandero-1-4-mpi-55-kw",2022-08-26
"Toyota","Hilux","White","25799","0km","1/2022","Manual","70 kW (95 hp)","2986cc","Diesel","8.9 l/100km","4x4","Belgium","https://carvago.com/car/44173335/toyota-hilux-70-kw",2022-08-26
"Dodge","RAM","Black","59249","25km","5/2022","Automatic","295 kW (401 hp)","5654cc","Petrol","14.8 l/100km","4x4","Germany","https://carvago.com/car/51593214/dodge-ram-295-kw",2022-08-26
"Jaguar","XF","Black","25749","83876km","4/2018","Automatic","221 kW (300 hp)","2993cc","Diesel","6 l/100km","4x2","Germany","https://carvago.com/car/51372030/jaguar-xf-30d-first-edition-221-kw",2022-08-26
"Dodge","RAM","Black","58399","400km","5/2021","Automatic","295 kW (401 hp)","5700cc","Petrol","14.2 l/100km","4x4","Germany","https://carvago.com/car/49563338/dodge-ram-295-kw",2022-08-26
"Dodge","RAM","White","49149","25000km","11/2020","Automatic","295 kW (401 hp)","5654cc","Petrol","4x4",NA,"Germany","https://carvago.com/car/50549570/dodge-ram-295-kw",2022-08-26
"Dodge","RAM","Black","40849","34200km","2/2020","Automatic","295 kW (401 hp)","5700cc","Petrol","4x4",NA,"Germany","https://carvago.com/car/48031646/dodge-ram-295-kw",2022-08-26
"Toyota","Aygo X","White","9949","60813km","8/2018","Manual","51 kW (69 hp)","998cc","Petrol","3.8 l/100km","4x2","Netherlands","https://carvago.com/car/51481623/toyota-aygo-x-51-kw",2022-08-26
"BMW","120","Black","34499","18000km","5/2021","Automatic","140 kW (190 hp)","1995cc","Diesel","4.3 l/100km","4x2","Italy","https://carvago.com/car/50998226/bmw-120-140-kw",2022-08-26
"Chevrolet","Matiz","Red","3399","130000km","11/2009","Manual","38 kW (52 hp)","796cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/51539405/chevrolet-matiz-0-8-s-38-kw",2022-08-26
"BMW","740","Black","53049","80338km","2/2019","Automatic","235 kW (320 hp)","2993cc","Diesel","6 l/100km","4x4","Germany","https://carvago.com/car/51421410/bmw-740-d-xdrive-235-kw",2022-08-26
"Mercedes-Benz","C 200","Silver","8199","138000km","8/2012","Manual","100 kW (136 hp)","2143cc","Diesel","6.1 l/100km","4x2","Germany","https://carvago.com/car/51361022/mercedes-benz-c-200-t-cdi-dpf-100-kw",2022-08-26
"Chevrolet","Spark","Black","2999","111165km","4/2010","Manual","60 kW (82 hp)","1206cc","Petrol","5.1 l/100km","4x2","Germany","https://carvago.com/car/50348330/chevrolet-spark-1-2-60-kw",2022-08-26
"Chevrolet","Matiz","Orange","3349","65120km","6/2009","Manual","38 kW (52 hp)","796cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/51508853/chevrolet-matiz-0-8-38-kw",2022-08-26
"Mercedes-Benz","C 220","Grey","27149","73000km","7/2017","Manual","120 kW (163 hp)","24900cc","Diesel","4 l/100km","4x2","Belgium","https://carvago.com/car/50183848/mercedes-benz-c-220-d-avantgarde-120-kw",2022-08-26
"Dodge","Charger","Red","43849","36000km","6/2020","Automatic","362 kW (492 hp)","6417cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51171342/dodge-charger-362-kw",2022-08-26
"Dodge","Charger","Red","43949","36000km","5/2020","Automatic","362 kW (492 hp)","6417cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51158810/dodge-charger-362-kw",2022-08-26
"Peugeot","207","Black","2599","159505km","9/2009","Manual","70 kW (95 hp)","1397cc","Petrol","5.9 l/100km","4x2","Germany","https://carvago.com/car/51541032/peugeot-207-sw-95-vti-urban-move-70-kw",2022-08-26
"Fiat","Talento","White","17749","70000km","12/2019","Manual","92 kW (125 hp)","1598cc","Diesel","6 l/100km","4x2","Germany","https://carvago.com/car/49874380/fiat-talento-l2h1-sx-92-kw",2022-08-26
"Ford","Kuga","Grey","26249","34537km","12/2019","Automatic","169 kW (230 hp)","1998cc","Petrol","9.5 l/100km","4x4","Germany","https://carvago.com/car/50464576/ford-kuga-2-0-ecoboost-4x4-st-line-169-kw",2022-08-26
"Toyota","Hilux","White","20449","24570km","4/2016","Manual","106 kW (144 hp)","2494cc","Diesel","7.3 l/100km","4x4","Germany","https://carvago.com/car/51584386/toyota-hilux-d-cab-2-5-4d-f-4wd-106-kw",2022-08-26
"BMW","M550","Grey","19799","166001km","10/2015","Automatic","280 kW (381 hp)","2993cc","Diesel","6 l/100km","4x4","Germany","https://carvago.com/car/51440253/bmw-m550-d-touring-xdrive-280-kw",2022-08-26
"Volkswagen","Tiguan","Black","27349","66309km","4/2018","Manual","92 kW (125 hp)","13950cc","Petrol","5 l/100km","4x2","Belgium","https://carvago.com/car/50894321/volkswagen-tiguan-tsi-92-kw",2022-08-26
"Chevrolet","Matiz","White","3099","113165km","9/2009","Manual","38 kW (52 hp)","796cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/50430342/chevrolet-matiz-0-8-s-38-kw",2022-08-26
"Renault","Megane","Black","4799","134900km","7/2009","Manual","96 kW (131 hp)","1397cc","Petrol","6.5 l/100km","4x2","Germany","https://carvago.com/car/50514638/renault-megane-estate-tce-130-dynamique-96-kw",2022-08-26
"Opel","Antara","Black","7899","123500km","6/2015","Manual","120 kW (163 hp)","2231cc","Diesel","6.3 l/100km","4x2","Germany","https://carvago.com/car/51577135/opel-antara-2-2-cdti-ecoflex-selection-120-kw",2022-08-26
"Dodge","RAM","White","60549","13500km","3/2021","Automatic","306 kW (416 hp)","5700cc","Petrol","14.7 l/100km","4x4","Germany","https://carvago.com/car/51236377/dodge-ram-306-kw",2022-08-26
"Mercedes-Benz","C 300","Red","39449","7833km","7/2020","Automatic","190 kW (258 hp)","1991cc","Hybrid","6.2 l/100km","4x2","Germany","https://carvago.com/car/51260673/mercedes-benz-c-300-190-kw",2022-08-26
"Audi","Q5","Grey","15699","89500km","2/2011","Manual","132 kW (179 hp)","1984cc","Petrol","8.4 l/100km","4x4","Germany","https://carvago.com/car/51465928/audi-q5-2-0-tfsi-quattro-132-kw",2022-08-26
"Dacia","Duster","Grey","16399","62100km","1/2020","Manual","85 kW (116 hp)","1461cc","Diesel","4.1 l/100km","4x2","Italy","https://carvago.com/car/50366660/dacia-duster-dci-115-2wd-85-kw",2022-08-26
"Dodge","Charger","Purple","57499","4000km","3/2021","Automatic","362 kW (492 hp)","6417cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51140892/dodge-charger-362-kw",2022-08-26
"Volkswagen","Caddy","Silver","14099","130266km","3/2016","Manual","90 kW (122 hp)","1968cc","Diesel","5.4 l/100km","4x4","Netherlands","https://carvago.com/car/51369154/volkswagen-caddy-2-0-tdi-4motion-90-kw",2022-08-26
"Volkswagen","ID.4","Black","42949","6500km","8/2022","Automatic","150 kW (204 hp)","Euro6","Electric","4x2",NA,"France","https://carvago.com/car/51592117/volkswagen-id-4-150-kw",2022-08-26
"Peugeot","208","Red","13299","74142km","11/2020","Manual","74 kW (101 hp)","1499cc","Diesel","3.5 l/100km","4x2","France","https://carvago.com/car/50650754/peugeot-208-100-active-74-kw",2022-08-26
"Dodge","RAM","Black","44999","25000km","2/2019","Automatic","295 kW (401 hp)","5654cc","Petrol","4x4",NA,"Germany","https://carvago.com/car/49682278/dodge-ram-295-kw",2022-08-26
"Dodge","Charger","Grey","50849","760km","8/2017","Automatic","351 kW (477 hp)","6400cc","Petrol","13.6 l/100km","4x2","Germany","https://carvago.com/car/50542109/dodge-charger-351-kw",2022-08-26
"Suzuki","Vitara","Grey","14299","77780km","11/2017","Automatic","103 kW (140 hp)","1373cc","Petrol","5.2 l/100km","4x4","Germany","https://carvago.com/car/51457885/suzuki-vitara-103-kw",2022-08-26
"GMC","Acadia","Black","22449","96147km","1/2011","Automatic","205 kW (279 hp)","3600cc","Petrol","4x4",NA,"Germany","https://carvago.com/car/44485010/gmc-acadia-205-kw",2022-08-26
"BMW","X1","Blue","8899","154200km","11/2013","Manual","110 kW (150 hp)","1995cc","Petrol","7.7 l/100km","4x2","Germany","https://carvago.com/car/51554962/bmw-x1-110-kw",2022-08-26
