"brand","model","color","price","km","year","transmission","eng_power","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate"
"Opel","Crossland X","Orange","15899","69000km","8/2017","Manual","88 kW (120 hp)","15600cc","Diesel","4 l/100km","4x2","Germany","https://carvago.com/car/51680313/opel-crossland-x-diesel-innovation-88-kw",2022-09-09
"Skoda","Kamiq","Black","10699","16000km","4/2021","Manual","85 kW (116 hp)","999cc","Petrol","5 l/100km","4x2","Germany","https://carvago.com/car/51791842/skoda-kamiq-1-0-tsi-active-85-kw",2022-09-09
"Volkswagen","T-Roc","White","35749","5400km","5/2022","Manual","110 kW (150 hp)","14980cc","Petrol","6.6 l/100km","4x2","Germany","https://carvago.com/car/50091982/volkswagen-t-roc-tsi-110-kw",2022-09-09
"Kia","XCeed","Silver","24649","19500km","10/2020","Manual","103 kW (140 hp)","13534cc","Petrol","6.2 l/100km","4x2","Germany","https://carvago.com/car/50175449/kia-xceed-103-kw",2022-09-09
"Dodge","RAM","Grey","63149","14190km","8/2021","Automatic","295 kW (401 hp)","5654cc","LPG","4x4",NA,"Netherlands","https://carvago.com/car/51552411/dodge-ram-sport-295-kw",2022-09-09
"Opel","Astra","Blue","3899","110000km","3/2009","Manual","66 kW (90 hp)","1364cc","Petrol","6 l/100km","4x2","Germany","https://carvago.com/car/50098203/opel-astra-1-4-66-kw",2022-09-09
"Dodge","RAM","White","39649","2245km","1/2021","Automatic","287 kW (390 hp)","5654cc","LPG","4x4",NA,"Poland","https://carvago.com/car/51496543/dodge-ram-287-kw",2022-09-09
"Dodge","RAM","Black","66999","308km","2/2022","Automatic","295 kW (401 hp)","5654cc","LPG","4x4",NA,"Netherlands","https://carvago.com/car/50034520/dodge-ram-295-kw",2022-09-09
"Kia","Sportage","Grey","47949","10000km","1/2022","Automatic","132 kW (179 hp)","15985cc","Petrol","6 l/100km","4x4","Germany","https://carvago.com/car/49345609/kia-sportage-awd-dct-132-kw",2022-09-09
"Dodge","Challenger","White","42949","2613km","7/2020","Automatic","362 kW (492 hp)","6417cc","Petrol","4x2",NA,"Germany","https://carvago.com/car/51354003/dodge-challenger-362-kw",2022-09-09
"Chevrolet","Matiz","Black","2849","89824km","3/2009","Manual","38 kW (52 hp)","796cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/51688615/chevrolet-matiz-0-8-s-38-kw",2022-09-09
"Dodge","RAM","White","37999","56481km","1/2019","Automatic","287 kW (390 hp)","5654cc","LPG","4x4",NA,"Poland","https://carvago.com/car/46410112/dodge-ram-287-kw",2022-09-09
