"brand","model","color","price","km","year","transmission","eng_power","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate"
"Opel","Crossland X","Orange","15899","69000km","8/2017","Manual","88 kW (120 hp)","15600cc","Diesel","4 l/100km","4x2","Germany","https://carvago.com/car/51680313/opel-crossland-x-diesel-innovation-88-kw",2022-10-28
"Dodge","Charger","Blue","16849","47000km","7/2016","Automatic","287 kW (390 hp)","5700cc","Petrol","4x4",NA,"Germany","https://carvago.com/car/52455650/dodge-charger-287-kw",2022-10-28
"Volkswagen","T-Roc","White","35749","7866km","5/2022","Manual","110 kW (150 hp)","14980cc","Petrol","6.6 l/100km","4x2","Germany","https://carvago.com/car/50091982/volkswagen-t-roc-tsi-110-kw",2022-10-28
"Toyota","Land Cruiser","Grey interior","34099","0km","7/2022","Manual","96 kW (131 hp)","4200cc","Diesel","10 l/100km","4x4","Belgium","https://carvago.com/car/52392857/toyota-land-cruiser-96-kw",2022-10-28
"Chevrolet","Matiz","Black","2399","90000km","7/2009","Manual","38 kW (52 hp)","796cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/52456325/chevrolet-matiz-0-8-s-38-kw",2022-10-28
"Kia","XCeed","Silver","24649","19500km","10/2020","Manual","103 kW (140 hp)","13534cc","Petrol","6.2 l/100km","4x2","Germany","https://carvago.com/car/50175449/kia-xceed-103-kw",2022-10-28
"Dacia","Sandero","Blue","2599","135900km","10/2009","Manual","55 kW (75 hp)","1390cc","Petrol","7 l/100km","4x2","Germany","https://carvago.com/car/52370807/dacia-sandero-1-4-mpi-55-kw",2022-10-28
"Skoda","Octavia","Silver","13249","166000km","4/2019","Manual","85 kW (116 hp)","11598cc","Diesel","4 l/100km","4x2","Germany","https://carvago.com/car/52392560/skoda-octavia-tdi-green-tec-ambition-85-kw",2022-10-28
"Renault","Clio","Grey","15099","13884km","11/2019","Manual","66 kW (90 hp)","14641cc","Diesel","6 l/100km","4x2","Belgium","https://carvago.com/car/52151266/renault-clio-dci-85-business-66-kw",2022-10-28
"Audi","Q3","Black","27199","26003km","8/2018","Automatic","110 kW (150 hp)","1395cc","Petrol","5.9 l/100km","4x2","Germany","https://carvago.com/car/52419461/audi-q3-1-4-tfsi-s-110-kw",2022-10-28
"Toyota","Land Cruiser","Brown interior","56949","20km","3/2022","Manual","200 kW (272 hp)","4000cc","Petrol","14 l/100km","4x4","Germany","https://carvago.com/car/51771135/toyota-land-cruiser-4-0-v6-200-kw",2022-10-28
"Nissan","Pixo","Red","2399","149000km","7/2009","Manual","50 kW (68 hp)","996cc","Petrol","4.4 l/100km","4x2","Germany","https://carvago.com/car/52438882/nissan-pixo-1-0-visia-50-kw",2022-10-28
"Peugeot","3008","Red","4999","146400km","1/2011","Manual","82 kW (111 hp)","1560cc","Diesel","5.2 l/100km","4x2","Czech Republic","https://carvago.com/car/52072799/peugeot-3008-hdi-fap-110-82-kw",2022-10-28
"Dodge","RAM","Black","36599","14100km","1/2019","Automatic","295 kW (401 hp)","5654cc","Petrol","4x2",NA,"Poland","https://carvago.com/car/51053584/dodge-ram-quad-cab-295-kw",2022-10-28
"Chevrolet","Matiz","Other interior color","3099","56157km","8/2009","Manual","38 kW (52 hp)","796cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/52073956/chevrolet-matiz-0-8-s-38-kw",2022-10-28
"Peugeot","208","White","9499","33300km","7/2019","Manual","75 kW (102 hp)","1499cc","Diesel","3.5 l/100km","4x2","Italy","https://carvago.com/car/52395463/peugeot-208-100-active-75-kw",2022-10-28
"Dodge","RAM","Black","40849","34200km","2/2020","Automatic","295 kW (401 hp)","5700cc","Petrol","4x4",NA,"Germany","https://carvago.com/car/48031646/dodge-ram-295-kw",2022-10-28
"Dodge","RAM","Black","51249","16433km","6/2021","Automatic","296 kW (402 hp)","5654cc","LPG","12.8 l/100km","4x4","Netherlands","https://carvago.com/car/52038662/dodge-ram-296-kw",2022-10-28
"Seat","Leon","Grey","6899","109084km","3/2011","Automatic","118 kW (160 hp)","1798cc","Petrol","7 l/100km","4x2","Germany","https://carvago.com/car/52147465/seat-leon-118-kw",2022-10-28
"Fiat","Panda","Blue","2649","124800km","6/2010","Manual","40 kW (54 hp)","1108cc","Petrol","5 l/100km","4x2","Germany","https://carvago.com/car/51336628/fiat-panda-1-1-40-kw",2022-10-28
"BMW","120","Black","34499","18000km","5/2021","Automatic","140 kW (190 hp)","1995cc","Diesel","4.3 l/100km","4x2","Italy","https://carvago.com/car/50998226/bmw-120-140-kw",2022-10-28
"Seat","Leon",NA,"3049","158500km","6/2009","Manual","92 kW (125 hp)","1390cc","Petrol","6.3 l/100km","4x2","Germany","https://carvago.com/car/52112470/seat-leon-style-92-kw",2022-10-28
"Jaguar","F-Pace","White","26949","36700km","6/2019","Automatic","132 kW (179 hp)","1999cc","Diesel","6 l/100km","4x2","Sweden","https://carvago.com/car/52446384/jaguar-f-pace-pure-132-kw",2022-10-28
"DFSK","Seres 3","Red","33599","4500km","4/2022","Manual","120 kW (163 hp)",NA,"Electric","18 kWh/100km","4x2","Germany","https://carvago.com/car/50746335/dfsk-seres-120-kw",2022-10-28
"Mercedes-Benz","E 63 AMG","Brown","52299","35000km","5/2015","Automatic","430 kW (585 hp)","5461cc","Petrol","10.5 l/100km","4x4","Germany","https://carvago.com/car/34668213/mercedes-benz-e-63-amg-e-t-s-4matic-mct-430-kw",2022-10-28
"BMW","220","Grey","22749","31900km","8/2019","Automatic","140 kW (190 hp)","1995cc","Diesel","4.4 l/100km","4x2","Germany","https://carvago.com/car/52412955/bmw-220-140-kw",2022-10-28
"Volkswagen","Polo","Red","4899","144802km","11/2009","Manual","51 kW (69 hp)","1198cc","Petrol","5.5 l/100km","4x2","Germany","https://carvago.com/car/52381277/volkswagen-polo-1-2-comfortline-51-kw",2022-10-28
"Skoda","Rapid","Black","7899","113884km","1/2015","Manual","77 kW (105 hp)","1197cc","Petrol","5.4 l/100km","4x2","Germany","https://carvago.com/car/52368170/skoda-rapid-1-2-tsi-ambition-77-kw",2022-10-28
"DS Automobiles","DS7 Crossback","Black","47099","18301km","3/2021","Automatic","221 kW (300 hp)","1600cc","Electric","4x4",NA,"Spain","https://carvago.com/car/51161646/ds-automobiles-ds7-crossback-so-chic-221-kw",2022-10-28
"Ford","Focus","Black","4849","145000km","3/2009","Manual","85 kW (116 hp)","1596cc","Petrol","6.6 l/100km","4x2","Germany","https://carvago.com/car/52047713/ford-focus-1-6-black-magic-85-kw",2022-10-28
"BMW","530","Blue","41599","32000km","7/2020","Automatic","210 kW (286 hp)","2993cc","Diesel","4.9 l/100km","4x2","Germany","https://carvago.com/car/52302419/bmw-530-touring-210-kw",2022-10-28
"Dodge","RAM","Red","43949","39000km","3/2019","Automatic","295 kW (401 hp)","5654cc","Petrol","4x4",NA,"Germany","https://carvago.com/car/49021193/dodge-ram-295-kw",2022-10-28
"BMW","X2","White","40399","13852km","11/2020","Automatic","162 kW (220 hp)","1499cc","Hybrid","1.9 l/100km","4x4","Italy","https://carvago.com/car/52463659/bmw-x2-162-kw",2022-10-28
"Volvo","V90","Blue","33049","12000km","3/2020","Automatic","140 kW (190 hp)","1969cc","Diesel","5 l/100km","4x4","Sweden","https://carvago.com/car/50131137/volvo-v90-d4-awd-momentum-140-kw",2022-10-28
"BMW","330","Black","38899","35000km","4/2021","Automatic","215 kW (292 hp)","1998cc","Hybrid","1.8 l/100km","4x4","Germany","https://carvago.com/car/52383877/bmw-330-touring-215-kw",2022-10-28
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://carvago.com/car/49659807/audi-q4-35-55-kwh-125-kw",2022-10-28
"Opel","Movano","White","16849","79583km","5/2019","Manual","96 kW (131 hp)","2298cc","Diesel","4x2",NA,"Italy","https://carvago.com/car/51947130/opel-movano-96-kw",2022-10-28
"Volkswagen","up!","White","6349","170113km","7/2017","Manual","50 kW (68 hp)","999cc","CNG","4 kg/100km","4x2","Czech Republic","https://carvago.com/car/51174142/volkswagen-up-eco-50-kw",2022-10-28
"Peugeot","208","White","9499","33300km","7/2019","Manual","75 kW (102 hp)","1499cc","Diesel","3.5 l/100km","4x2","Italy","https://carvago.com/car/51918654/peugeot-208-100-active-75-kw",2022-10-28
"Opel","Movano","White","16849","80548km","5/2019","Manual","96 kW (131 hp)","2298cc","Diesel","4x2",NA,"Italy","https://carvago.com/car/51976371/opel-movano-96-kw",2022-10-28
"Volvo","V60","Silver","11399","137000km","4/2012","Automatic","169 kW (230 hp)","2400cc","Diesel","6.4 l/100km","4x4","Germany","https://carvago.com/car/51288913/volvo-v60-169-kw",2022-10-28
"Dacia","Duster","White","6399","93000km","1/2012","Manual","77 kW (105 hp)","1598cc","Petrol","7.1 l/100km","4x2","Germany","https://carvago.com/car/52244006/dacia-duster-1-6-16v-4x2-77-kw",2022-10-28
"Cupra","Formentor","Red","35249","4000km","6/2022","Automatic","228 kW (310 hp)","1984cc","Petrol","7.7 l/100km","4x4","Spain","https://carvago.com/car/52293395/cupra-formentor-2-0-tsi-dsg-4drive-vz-228-kw",2022-10-28
"Jeep","Gladiator","Other interior color","56049","20km","4/2022","Automatic","194 kW (264 hp)","2987cc","Diesel","7 l/100km","4x4","Italy","https://carvago.com/car/52410295/jeep-gladiator-3-0-v6-multijet-4wd-194-kw",2022-10-28
"Volvo","V90","Grey","32149","13000km","3/2020","Automatic","140 kW (190 hp)","1969cc","Diesel","5 l/100km","4x4","Sweden","https://carvago.com/car/49788338/volvo-v90-d4-awd-momentum-140-kw",2022-10-28
"Fiat","500","White","14849","8000km","3/2021","Manual","51 kW (69 hp)","999cc","Electric","4x2",NA,"Italy","https://carvago.com/car/52286832/fiat-500-star-51-kw",2022-10-28
"BMW","220","Silver","23049","79988km","11/2019","Automatic","140 kW (190 hp)","1995cc","Diesel","4.6 l/100km","4x2","Germany","https://carvago.com/car/49463795/bmw-220-140-kw",2022-10-28
"Mercedes-Benz","A 220","Grey","29899","33887km","11/2019","Automatic","140 kW (190 hp)","1950cc","Diesel","4.4 l/100km","4x2","Italy","https://carvago.com/car/51963935/mercedes-benz-a-220-d-140-kw",2022-10-28
"Fiat","500","Other interior color","14799","8000km","3/2021","Manual","51 kW (69 hp)","999cc","Electric","4x2",NA,"Italy","https://carvago.com/car/52272406/fiat-500-star-51-kw",2022-10-28
"Skoda","Fabia","Black","4899","156500km","10/2010","Manual","63 kW (86 hp)","1197cc","Petrol","5.2 l/100km","4x2","Germany","https://carvago.com/car/51940552/skoda-fabia-1-2-tsi-style-edition-63-kw",2022-10-28
"Jeep","Gladiator","Other interior color","57099","30km","6/2022","Automatic","194 kW (264 hp)","2987cc","Diesel","7 l/100km","4x4","Italy","https://carvago.com/car/52429264/jeep-gladiator-3-0-v6-multijet-4wd-194-kw",2022-10-28
"Peugeot","208","White","8899","95242km","3/2019","Manual","75 kW (102 hp)","1499cc","Diesel","5 l/100km","4x2","France","https://carvago.com/car/52050207/peugeot-208-bluehdi-100-75-kw",2022-10-28
"Kia","cee'd / Ceed","Red","5199","94858km","3/2009","Manual","92 kW (125 hp)","1591cc","Petrol","5 l/100km","4x2","Czech Republic","https://carvago.com/car/51856015/kia-cee-d-ceed-1-6d-16v-92-kw",2022-10-28
