"brand","model","color","price","km","year","transmission","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate","id","eng_power_kw","eng_power_hp","age"
"Citroen","C3","Grey",4899,112052,2009,"Manual",1360,"Petrol",6.3,"4x2","Germany","https://carvago.com/car/51568954/citroen-c3-1-4-tonic-54-kw","12/09/2022","51568954",54,73,13
"Dacia","Spring","Grey",21099,2049,2022,"Automatic",NA,"Electric",NA,NA,"Netherlands","https://carvago.com/car/51821627/dacia-spring-33-kw","12/09/2022","51821627",33,45,0
"Ford","Kuga","Grey",13899,158992,2017,"Manual",1997,"Diesel",5.2,"4x4","Germany","https://carvago.com/car/51828392/ford-kuga-2-0-4x4-titanium-132-kw","12/09/2022","51828392",132,179,5
"Volkswagen","T-Cross","Red",16999,23510,2019,"Manual",999,"Petrol",5,"4x2","Sweden","https://carvago.com/car/51830274/volkswagen-t-cross-1-0-tsi-opf-71-kw","13/09/2022","51830274",71,97,3
"Peugeot","308","Grey",10749,121523,2018,"Manual",1499,"Diesel",4,"4x2","France","https://carvago.com/car/51706786/peugeot-308-sw-blue-lease-96-kw","13/09/2022","51706786",96,131,4
"Mercedes-Benz","C 180","Grey",49949,9500,2022,"Automatic",1496,"Petrol",6.2,"4x2","Germany","https://carvago.com/car/48722743/mercedes-benz-c-180-125-kw","13/09/2022","48722743",125,170,0
"Volkswagen","Touareg","White",83649,7000,2022,"Automatic",2967,"Diesel",7,"4x4","Poland","https://carvago.com/car/51856428/volkswagen-touareg-3-0-v6-tdi-dpf-4motion-170-kw","14/09/2022","51856428",170,231,0
"Hyundai","i10","Red",2449,122475,2009,"Manual",1086,"Petrol",5.2,"4x2","Germany","https://carvago.com/car/51852674/hyundai-i10-1-1-49-kw","14/09/2022","51852674",49,67,13
"Volkswagen","Polo","Silver",2899,159936,2009,"Manual",1390,"Petrol",6.4,"4x2","Germany","https://carvago.com/car/51805277/volkswagen-polo-1-4-16v-59-kw","14/09/2022","51805277",59,80,13
"Toyota","Land Cruiser","Brown interior",56949,20,2022,"Manual",4000,"Petrol",14,"4x4","Germany","https://carvago.com/car/51771135/toyota-land-cruiser-4-0-v6-200-kw","14/09/2022","51771135",200,272,0
"Audi","A1","Grey",19949,45579,2017,"Automatic",1395,"Petrol",5,"4x2","Germany","https://carvago.com/car/51877476/audi-a1-1-4-tfsi-s-tronic-92-kw","14/09/2022","51877476",92,125,5
"Mitsubishi","Colt","Black",7399,79000,2010,"Manual",1332,"Petrol",6,"4x2","Germany","https://carvago.com/car/51593402/mitsubishi-colt-1-3-motion-70-kw","14/09/2022","51593402",70,95,12
"Opel","Corsa","Green",5749,131500,2010,"Manual",1398,"Petrol",5.5,"4x2","Germany","https://carvago.com/car/51867542/opel-corsa-1-4-16v-64-kw","14/09/2022","51867542",64,87,12
"Audi","A6","Silver",47899,33000,2019,"Automatic",2967,"Diesel",5.8,"4x4","Germany","https://carvago.com/car/51240935/audi-a6-50-tdi-quattro-210-kw","14/09/2022","51240935",210,286,3
"Dodge","RAM","Red",43949,39000,2019,"Automatic",5654,"Petrol",NA,NA,"Germany","https://carvago.com/car/49021193/dodge-ram-295-kw","14/09/2022","49021193",295,401,3
"DFSK","Seres 3","Red",33599,4500,2022,"Manual",NA,"Electric",NA,"4x2","Germany","https://carvago.com/car/50746335/dfsk-seres-120-kw","14/09/2022","50746335",120,163,0
"Hyundai","Tucson","Black",6449,135810,2010,"Manual",1991,"Diesel",6,"4x4","Germany","https://carvago.com/car/51869439/hyundai-tucson-103-kw","14/09/2022","51869439",103,140,12
"Ford","Ranger","Grey",46599,23400,2021,"Automatic",1997,"Diesel",7.8,"4x4","Italy","https://carvago.com/car/51828762/ford-ranger-156-kw","14/09/2022","51828762",156,212,1
"Toyota","Land Cruiser","White",41899,78204,2014,"Manual",2982,"Diesel",8,"4x4","France","https://carvago.com/car/51859670/toyota-land-cruiser-3-0-140-kw","14/09/2022","51859670",140,190,8
"BMW","220","Grey",26049,34200,2019,"Automatic",1995,"Diesel",4.8,"4x4","Germany","https://carvago.com/car/51836722/bmw-220-140-kw","14/09/2022","51836722",140,190,3
"Volkswagen","Polo","Black",5899,135000,2009,"Manual",1598,"Petrol",6.9,"4x2","Germany","https://carvago.com/car/51137065/volkswagen-polo-1-6-77-kw","14/09/2022","51137065",77,105,13
"Renault","Master","White",22349,50480,2017,"Manual",2298,"Diesel",9,"4x2","France","https://carvago.com/car/51523207/renault-master-96-kw","14/09/2022","51523207",96,131,5
"Audi","Q2","Blue",30499,52400,2020,"Automatic",1968,"Diesel",5.1,"4x4","Germany","https://carvago.com/car/51180391/audi-q2-35-tdi-quattro-s-tronic-110-kw","14/09/2022","51180391",110,150,2
"Chevrolet","Spark","Blue",3799,82630,2011,"Manual",995,"Petrol",5.1,"4x2","Germany","https://carvago.com/car/51695647/chevrolet-spark-1-0-ls-50-kw","14/09/2022","51695647",50,68,11
"Dodge","Challenger","White",51249,11260,2021,"Automatic",6417,"Petrol",NA,NA,"Germany","https://carvago.com/car/51777333/dodge-challenger-362-kw","14/09/2022","51777333",362,492,1
"Kia","Picanto","Red",3299,147800,2009,"Manual",999,"Petrol",4,"4x2","Germany","https://carvago.com/car/50819306/kia-picanto-46-kw","14/09/2022","50819306",46,63,13
"Renault","Megane","White",4649,150000,2009,"Manual",1598,"Petrol",6.9,"4x2","Germany","https://carvago.com/car/50775353/renault-megane-1-6-16v-110-dynamique-81-kw","14/09/2022","50775353",81,110,13
